

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

224.349  000.399  000.399: sourcing /Users/mater/.vim/plugged/quick-scope/plugin/quick_scope.vim
224.548  000.106  000.106: sourcing /Users/mater/.vim/plugged/vim-tmux-navigator/plugin/tmux_navigator.vim
225.131  000.260  000.260: sourcing /Users/mater/.vim/plugged/vimwiki/autoload/vimwiki/vars.vim
226.063  000.062  000.062: sourcing /Users/mater/.vim/plugged/vimwiki/autoload/vimwiki/u.vim
227.490  002.860  002.538: sourcing /Users/mater/.vim/plugged/vimwiki/plugin/vimwiki.vim
227.713  000.102  000.102: sourcing /Users/mater/.vim/plugged/goyo.vim/plugin/goyo.vim
230.697  002.834  002.834: sourcing /Users/mater/.vim/plugged/vim-polyglot/plugin/polyglot.vim
231.169  000.102  000.102: sourcing /opt/homebrew/Cellar/neovim/0.7.0/share/nvim/runtime/plugin/gzip.vim
231.203  000.008  000.008: sourcing /opt/homebrew/Cellar/neovim/0.7.0/share/nvim/runtime/plugin/health.vim
231.259  000.035  000.035: sourcing /opt/homebrew/Cellar/neovim/0.7.0/share/nvim/runtime/plugin/man.vim
232.705  000.143  000.143: sourcing /opt/homebrew/Cellar/neovim/0.7.0/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
232.806  001.523  001.380: sourcing /opt/homebrew/Cellar/neovim/0.7.0/share/nvim/runtime/plugin/matchit.vim
232.954  000.126  000.126: sourcing /opt/homebrew/Cellar/neovim/0.7.0/share/nvim/runtime/plugin/matchparen.vim
233.248  000.271  000.271: sourcing /opt/homebrew/Cellar/neovim/0.7.0/share/nvim/runtime/plugin/netrwPlugin.vim
233.379  000.105  000.105: sourcing /opt/homebrew/Cellar/neovim/0.7.0/share/nvim/runtime/plugin/rplugin.vim
233.460  000.051  000.051: sourcing /opt/homebrew/Cellar/neovim/0.7.0/share/nvim/runtime/plugin/shada.vim
233.502  000.015  000.015: sourcing /opt/homebrew/Cellar/neovim/0.7.0/share/nvim/runtime/plugin/spellfile.vim
233.596  000.065  000.065: sourcing /opt/homebrew/Cellar/neovim/0.7.0/share/nvim/runtime/plugin/tarPlugin.vim
233.673  000.052  000.052: sourcing /opt/homebrew/Cellar/neovim/0.7.0/share/nvim/runtime/plugin/tohtml.vim
233.714  000.015  000.015: sourcing /opt/homebrew/Cellar/neovim/0.7.0/share/nvim/runtime/plugin/tutor.vim
233.825  000.087  000.087: sourcing /opt/homebrew/Cellar/neovim/0.7.0/share/nvim/runtime/plugin/zipPlugin.vim
234.957  000.839  000.839: sourcing /Users/mater/.vim/plugged/nvim-cmp/plugin/cmp.lua
235.879  000.061  000.061: sourcing /Users/mater/.vim/plugged/nvim-dap/plugin/dap.lua
236.820  000.719  000.719: sourcing /Users/mater/.vim/plugged/nvim-treesitter/plugin/nvim-treesitter.lua
239.455  010.374: loading rtp plugins
239.518  000.062: loading packages
240.580  000.517  000.517: sourcing /Users/mater/.vim/plugged/compe-tmux/after/plugin/cmp_tmux.vim
240.733  000.066  000.066: sourcing /Users/mater/.vim/plugged/ultisnips/after/plugin/UltiSnips_after.vim
241.239  000.230  000.230: sourcing /Users/mater/.vim/plugged/tabular/autoload/tabular.vim
242.134  001.301  001.071: sourcing /Users/mater/.vim/plugged/tabular/after/plugin/TabularMaps.vim
242.558  000.302  000.302: sourcing /Users/mater/.vim/plugged/indentLine/after/plugin/indentLine.vim
242.678  000.032  000.032: sourcing /Users/mater/.vim/plugged/vim-signature/after/plugin/signature.vim
242.961  000.052  000.052: sourcing /Users/mater/.vim/plugged/dracula/autoload/dracula.vim
242.969  000.207  000.156: sourcing /Users/mater/.vim/plugged/dracula/after/plugin/dracula.vim
243.463  000.011  000.011: sourcing /Users/mater/.vim/plugged/ultisnips/plugin/UltiSnips.vim
243.792  000.098  000.098: sourcing /Users/mater/.vim/plugged/cmp-nvim-ultisnips/autoload/cmp_nvim_ultisnips.vim
243.849  000.747  000.638: sourcing /Users/mater/.vim/plugged/cmp-nvim-ultisnips/after/plugin/cmp_nvim_ultisnips.lua
244.317  000.386  000.386: sourcing /Users/mater/.vim/plugged/cmp-buffer/after/plugin/cmp_buffer.lua
244.604  000.204  000.204: sourcing /Users/mater/.vim/plugged/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
244.983  000.298  000.298: sourcing /Users/mater/.vim/plugged/cmp-path/after/plugin/cmp_path.lua
245.304  000.241  000.241: sourcing /Users/mater/.vim/plugged/cmp-look/after/plugin/cmp_look.lua
250.111  004.722  004.722: sourcing /Users/mater/.vim/plugged/cmp-latex-symbols/after/plugin/cmp_latex.lua
250.299  000.091  000.091: sourcing /Users/mater/.vim/plugged/cmp-spell/after/plugin/cmp-spell.lua
250.574  000.191  000.191: sourcing /Users/mater/.vim/plugged/cmp-rg/after/plugin/cmp-rg.lua
250.979  002.157: loading after plugins
250.985  000.006: inits 3
253.820  002.835: reading ShaDa
254.268  000.448: opening buffers
254.630  000.196  000.196: sourcing /Users/mater/.vim/plugged/vim-gitgutter/autoload/gitgutter.vim
255.011  000.167  000.167: sourcing /Users/mater/.vim/plugged/vim-signature/autoload/signature/sign.vim
255.417  000.202  000.202: sourcing /Users/mater/.vim/plugged/vim-signature/autoload/signature/mark.vim
256.707  001.875: BufEnter autocommands
256.711  000.004: editing files in windows
275.942  000.612  000.612: sourcing /Users/mater/.vim/plugged/vim-startify/autoload/startify.vim
281.085  000.113  000.113: sourcing /opt/homebrew/Cellar/neovim/0.7.0/share/nvim/runtime/autoload/provider/clipboard.vim
284.433  000.120  000.120: sourcing /Users/mater/.vim/plugged/vim-startify/syntax/startify.vim
287.022  029.466: VimEnter autocommands
287.393  000.281  000.281: sourcing /Users/mater/.vim/plugged/firenvim/autoload/firenvim.vim
287.409  000.106: UIEnter autocommands
287.411  000.002: before starting main loop
291.474  004.063: first screen update
291.475  000.002: --- NVIM STARTED ---
